media,date,url,content,word_count,klasifikasi
Detik Finance,12/1/2015 8:32,http://finance.detik.com/read/2015/12/01/082918/3084568/1036/target-pertumbuhan-industri-ri-2016-turun-menperin-lihat-kondisi-ekonomi-global," Target Pertumbuhan Industri RI 2016 Turun, Menperin: Lihat Kondisi Ekonomi Global Lani Pujiastuti - detikfinance Selasa, 01/12/2015 08:32 WIB Jakarta -Target pertumbuhan sektor industri tahun 2016 dipatok 5,7% atau turun dari target tahun 2015 yaitu 6,8%. Menteri Perindustrian Saleh Husin memilih pasang target realistis di tengah prediksi kondisi ekonomi global yang masih belum stabil di 2016 mendatang. ""Kita tahun 2015 targetkan pertumbuhan sektor industri di awal 6,3-6,8%. Kita masih lihat kondisi ekonomi global 2016. Kondisi tahun ini tiba-tiba dengan ekonomi global lesu turut mempengaruhi industri dalam negeri,"" kata Saleh Husin ketika berkunjung ke kantor redaksi detikcom, Senin (30/11/2015). Menurutnya, lebih baik depan memasan target realistis. ""Daripada kita terlalu over mending kita pasang target yang realistis saja. Mungkin tahun depan nggak terlalu bergerak jauh dari 2015,"" tambahnya. Hinggs kuartal III pertumbuhan sektor industri yaitu 5,21%. Menperin mengatakan, hingga penghujung 2015 nampaknya sekto industri belum belum tumbuh signifikan. ""Target pertumbuhan industri paling maksimal bisa 5,5% sampai akhir tahun. Meski demikian, ekspor tahun depan harusnya lebih meningkat dari sekarang. Realisasi tahun ini ekspor rendah. Jadi tahun depan kita tidak mau pasang target bombastis,"" jelasnya. Ekspor pun tidak ditargetkan naik signifikan pad tahu depan. Hal tersebut melihat kondisi negara-negara tujuan ekspor RI pun belum membaik kondis ekonominya. ""China tahun depan juga kelihatannya masih akan nggak terlalu bergerak jauh dari tahun ini. Ekspor kita kan banyak ke sana. Kalau sekarang, faktor global mempengaruhi industri di dalam negeri. Permintaan turun, mau nggak mau turunkan produksi,"" imbuhnya. Meski 2016 diprediksi masih lesu akibat terpengaruh kondisi ekonomi global, Salen Husin berharap keadaan akan membaik pada 2017. ""Mungkin 2017 pertumbuhan ekonomi dan industri akan naik. Banyak yang realisasi produksi dari investasi tahun ini akan mulai tahun 2017. Mistubishi dan Nippon Steel misalnya akan mulai produksi 2017,"" katanya.","[('target', 10), ('industri', 10), ('tumbuh', 7), ('ekonomi', 7), ('global', 6), ('2015', 6), ('kondisi', 6), ('ekspor', 5), ('2016', 5), ('turun', 4)]",3
Detik Finance,12/1/2015 8:40,http://finance.detik.com/read/2015/12/01/083905/3084578/6/wall-street-kena-koreksi-saham-kesehatan-dan-konsumer," New York -Pasar saham Wall Street terkena koreksi akibat melemahnya saham-saham kesehatan dan konsumer. Investor juga menanti kebijakan baru dari The Federal Reserve (The Fed) yang akan dikeluarkan bulan ini. Tiga indeks acuan di bursa New York ditutup melemah. Namun dalam satu bulan ini berhasil naik berkat penguatan saham-saham finansial. Saham-saham ritel juga terbantu oleh adanya Cyber Monday, yaitu belanja online terbesar setahun sekali setelah Thanksgiving. Penjualan ritel saat Cyber Monday ini naik 14% dibandingkan tahun lalu. Gubernur The Fed Janet Yellen akan membuka pertemuan pada Kamis mendatang sambil membahas prospek ekonomi ke depan. ""Pergerakan ini sejalan dengan investor yang bersiap untuk mengambil langkah besar setelah melihat data dan kebijakan yang akan datang,"" kata Bucky Hellwig, senior vice president dari BB&T Wealth Management di Birmingham, Alabama, seperti dikutip Reuters, Selasa (1/12/2015).","[('saham', 4), ('the', 3), ('lemah', 2), ('cyber', 2), ('fed', 2), ('bijak', 2), ('new', 2), ('monday', 2), ('ritel', 2), ('york', 2)]",8
Detik Finance,12/1/2015 9:45,http://finance.detik.com/read/2015/12/01/093619/3084641/4/demeyere-furnitur-asal-prancis-hadir-di-indonesia," Jakarta -Masih mencari furnitur pelengkap rumah Anda? Kini bisa mendapatkan furnitur asli dari Prancis untuk menghias rumah Anda dari Demeyere, brand furnitur asal Prancis yang bisa didapatkan di gerai Transmart Carrefour. Demeyere sendiri telah berdiri sejak 1909, dan menjadi salah satu pelopor dalam ekpor perakitan furnitur di Eropa. Demeyere dikenal telah dijual di 75 negara di dunia, dan di Indonesia, produk Demeyere didatangkan langsung dari Prancis. Dengan mengusung model modern minimalis, Demeyere dari Transmart menghadirkan furnitur dengan klasifikasi E1, yang sudah teruji standar keamanannya dan aman untuk digunakan bagi anak–anak. ""Lantaran melihat popularitas Demeyere di dunia industri furnitur yang cukup besar, Transmart Carrefour memilih menghadirkan brand Demeyere di Indonesia. Demeyere didukung dengan kualitas premium, finishing top coat untuk anti gores dan anti panas, berpengalaman, dan kontrol kualitas yang sangat detail,"" kata Satria Hamid, Corporate Communications GM Transmart Carrefour, dalam keterangannya, Selasa (1/12/2015). Saat ini, Demeyere Transmart sudah tersedia di beberapa gerai Transmart Carrefour, yaitu di Cempaka Putih, Central Park, Ambarukmo, Medan Fair, Tangerang Center Cikokol dan Lebak Bulus. Kedepannya Demeyere juga akan dikembangkan dengan membuka gerai baru di beberapa gerai Transmart Carrefour lainnya. ""Ekspansi ini dilakukan untuk memberikan range furniture yang lebih luas, sehingga memberikan pilihan baru bagi para konsumen, yang kini semakin mementingkan kualitas barang. Selain itu, saat ini sedang berjalan promo diskon tambahan 10 persen bagi para konsumen yang menggunakan kartu kredit dari Bank Mega,"" tutup Satira.","[('demeyere', 10), ('transmart', 7), ('furnitur', 6), ('carrefour', 5), ('gerai', 4), ('kualitas', 3), ('prancis', 3), ('anak', 2), ('rumah', 2), ('konsumen', 2)]",6
Detik Finance,12/1/2015 10:25,http://finance.detik.com/read/2015/12/01/101302/3084676/4/jk-ekonomi-ri-masih-dipengaruhi-as-china-hingga-eropa," Jakarta -Walau masuk sebagai anggota G20 yakni negara dengan perekonomian terbesar, namun kebijakan ekonomi Indonesia belum dapat mempengaruhi negara lain. Hal ini berbeda dengan Amerika Seriat (AS), Uni Eropa, Jepang, dan China, ketika mengeluarkan kebijakan, mampu mempengaruhi ekonomi banyak negara lain. ""Ekonomi dunia tak bisa dipisah lagi, semuanya saling terkait. Tapi kita bukan ekonomi besar untuk bisa mempengaruhi negara lain, justru kita dipengaruhi oleh AS, China, Jepang dan negara di Eropa,"" kata Wakil Presiden Jusuf Kalla (JK) dalam acara Economic Challenges?, di Hotel Borobudur, Jakarta, Selasa (1/12/2015). JK mencontohkan, seperti China.? Tren pertumbuhan ekonomi, khususnya sektor industri China terus menurun. China dengan kekuatan manufaktur yang cukup besar, akan membawa dampak terhadap permintaan sumber daya alam, seperti nikel, tembaga, batu bara dan lainnya. ""Itu tentu akan mempengaruhi faktor global. Indonesia yang andalan ekspornya adalah sumber daya tersebut, tentu akan terpengaruh juga. Selama 2015 itu sudah terjadi, dan 2016 juga dimungkinkan terjadi"" ujarnya. Dalam kerangka manajemen strategi, JK menggambarkan kekuatan, kelemahan, peluang serta tantangan Indonesia ke depan. Kekuatan, kata JK terdapat dari sumber daya alam dan sumber daya manusia yang besar. ""Indonesia selalu digambarkan kekuatan kita, karena pasar besar dan suatu resources yang besar. Dan di situ kenapa orang tertarik masuk ke Indonesia,"" tegas JK. Kemudian dari sisi kelemahan, dalam era kompetisi seperti sekarang, maka pemenangnya adalah yang lebih baik atau lebih murah atau lebih cepat. Ada empat hal yang masih mahal di dalam negeri dan menjadi kelemahan di Indonesia, yaitu sektor keuangan, logistik, energi, dan birokrasi. ?""Yang lebih mahal itu financial sektor. Bahwa dibanding negara lain. Itu berarti tak bisa berdiri sendiri,"" ujarnya. Pada sisi peluang, menurut JK sudah pasti cukup besar karena sumber daya yang belum tergarap secara penuh.? ""Orang di dunia ini, solusinya adalah pasar. Indeks tren industri di China turun, karena pasar turun. Bolak-balik saja itu pengaruhnya,"" kata JK.","[('pengaruh', 7), ('jk', 7), ('ekonomi', 6), ('china', 6), ('negara', 6), ('indonesia', 6), ('daya', 5), ('sumber', 5), ('kuat', 4), ('turun', 3)]",8
Detik Finance,12/1/2015 11:55,http://finance.detik.com/read/2015/12/01/114639/3084772/4/cerita-jk-soal-jepang-dan-china-yang-rebutan-proyek-kereta-cepat-di-ri," Cerita JK Soal Jepang dan China yang Rebutan Proyek Kereta-Cepat di RI Maikel Jefriando - detikfinance Selasa, 01/12/2015 11:55 WIB Jakarta -Wakil Presiden Jusuf Kalla (JK) menceritakan hebatnya proyek Kereta Cepat atau High Speed Train (HST) dengan rute Jakarta-Bandung, sampai akhirnya menjadi perebutan antara Jepang dan China. JK menilai, proyek tersebut bukan semata-mata hanya persoalan transportasi?, melainkan ada perebutan pasar yang sangat besar. Kedua negara memproyeksikan tingginya ekonomi Indonesia dalam beberapa tahun ke depan, sehingga masyarakat butuh transportasi yang cepat. ""Kenapa China dan Jepang berduel untuk KA Cepat, karena ada penetrasi pasar yang kuat?,"" tegas JK, dalam acara Economic Challenges, di Hotel Borobudur, Jakarta Pusat, Selasa (1/12/2015). Menurut JK, kereta cepat tidak hanya? heboh di dalam negeri, namun juga dunia internasional. Dunia menyoroti bagaimana Presiden Joko Widodo (Jokowi) mampu membuat Perdana Menteri Jepang Shinzo Abe dan China Xi Jinping terlihat saling memperebutkan Indonesia.","[('jk', 5), ('jepang', 4), ('china', 4), ('cepat', 4), ('rebut', 4), ('proyek', 3), ('presiden', 2), ('dunia', 2), ('pasar', 2), ('2015', 2)]",7
Detik Finance,12/1/2015 11:58,http://finance.detik.com/read/2015/12/01/115804/3084786/5/yuan-resmi-jadi-mata-uang-internasional," Jakarta -Sesuai rencana, pada Senin 30 November 2015, Dana Moneter Internasional alias International Monetary Fund (IMF) akhirnya memasukan yuan sebagai jadi mata uang internasional. Yuan masuk dalam keranjang Special Drawing Rights (SDR) bersama mata uang internasional lain antara lain dolar AS, euro, yen, dan poundsterling. Dimasukannya yuan dalam SDR merupakan tonggak penting bagi China untuk masuk ke dalam sistem keuangan global. Untuk sampai masuk ke dalam SDR, China telah melakukan reformasi kebijakan keuangannya beberapa bulan terakhir, misalnya dalam hal akses yang lebih baik bagi orang asing ke dalam pasar mata uang China. Selain itu adanya penerbitan dan perluasan waktu perdagangan yuan. Managing Director IMF Christine Lagarde berharap langkah China mereformasi sistem pasar keuangannya tak berhenti sebatas itu. ""Masuknya renminbi dalam SDR sebagai indikasi yang jelas dari reformasi yang telah diimplementasikan dan akan terus diimplementasikan,"" kata Lagarde kepada wartawan seperti dikutip dari reuters, Selasa (1/12/2015) Sementara itu pihak, Bank Sentral China atau The People's Bank of China menjelaskan langkah mereka mendapat dukungan dari berbagai negara seperti AS dan Inggris, sebagai gambaran bahwa dunia internasional ingin China berperan lebih besar dalam ekonomi dunia. ""China akan terus melanjutkan memperdalam dan mengakselerasi reformasi ekonomi dan keuangan yang lebih terbuka, dan bisa bekontribusi dalam pertumbuhan ekonomi dunia, menjaga stabilitas dan tata kelola keuangan dan ekonomi global,"" jelas pernyataan The People's Bank of China .","[('china', 9), ('uang', 8), ('masuk', 5), ('ekonomi', 4), ('reformasi', 4), ('internasional', 4), ('sdr', 4), ('yuan', 4), ('bank', 3), ('dunia', 3)]",8
Detik Finance,12/1/2015 12:05,http://finance.detik.com/read/2015/12/01/115446/3084784/4/pemerintah-dorong-koperasi-ri-ekspansi-ke-malaysia-dan-hongkong," Jakarta -Menteri Koperasi dan UKM, Anak Agung Ngurah Puspayoga, menyatakan keinginannya agar koperasi-koperasi dari Indonesia berani melakukan ekspansi ke Malaysia dan Hongkong. Puspayoga yakin koperasi bisa mendapatkan pasar karena banyak Tenaga Kerja Indonesia (TKI) yang bekerja di sana. ""Saya dorong koperasi besar kita buka cabang di Malaysia dan Hongkong. Di sana banyak TKI kita,"" kata Puspayoga kepada detikFinance usai Seminar Pemasaran untuk UKM di SME Tower, Jakarta, Selasa (1/12/2015). ?Dia mengungkapkan, beberapa koperasi telah menyampaikan rencana ekspansi ke Malaysia, misalnya kopersi simpan pinjam asal Pekalongan.? ""Contohnya koperasi simpan pinjam di Pekalongan, dia punya aset yang begitu besar,"" tuturnya. ?Puspayoga berjanji akan membantu dengan mempertemukan koperasi-koperasi Indonesia dengan koperasi dari Negeri Jiran untuk bekerjasama. ""Ada beberapa koperasi yang berkeinginan untuk mengembangkan usaha dengan ekspansi seperti itu. Kita akan pertemukan dengan unit-unit usaha atau koperasi di Malaysia untuk bekerjasama dengan kita. Jadi kerjasama dengan koperasi di sana,"" dia menjelaskan. Ekspansi akan dilakukan dengan mendirikan perusahaan patungan berbentuk Perseroan Terbatas (PT) dengan koperasi Malaysia. Koperasi asal Indonesia akan menjadi perusahaan induk. ""Bentuknya bisa PT, ekspansi ke Malaysia, koperasi di sini sebagai Holding-nya,"" tukasnya. ?Dia menuturkan, ide mendorong ekspansi koperasi ke luar negeri ini berkaca dari keberhasilan pusat perbelanjaan bahan bangunan, Ace Hardware. Puspayoga mengatakan, Ace Hardware, yang dimiliki oleh koperasi pekerja di Amerika Serikat kini hadir telah mendirikan cabang di banyak negara. ""Ace Hardware itu aslinya di Amerika Serikat adalah koperasi. Koperasi para pekerja. Kita ingin seperti itu,"" papar Puspayoga. ?Tetapi, ekspansi koperasi Indonesia ke Malaysia dan Hongkong ini tidak dapat dilakukan dalam waktu dekat karena masih perlu berbagai persiapan. Puspayoga belum dapat memastikan kapan keinginannya ini bisa terwujud. ""Koperasi yang ingin mengembangkan usaha ke luar negeri harus membuat kajian apa saja kebutuhan di sana.? Tidak bisa secepat mungkin, tentunya perlu persiapan, terutama dari sisi pembiayaan,"" tutupnya.","[('koperasi', 20), ('puspayoga', 7), ('malaysia', 7), ('ekspansi', 7), ('usaha', 5), ('indonesia', 5), ('kerja', 4), ('negeri', 3), ('hardware', 3), ('hongkong', 3)]",8
Detik Finance,12/1/2015 14:23,http://finance.detik.com/read/2015/12/01/141019/3084996/5/bi-rate-sulit-turun-ini-alasan-agus-marto," Jakarta -Desakan terhadap Bank Indonesia (BI) untuk memangkas tingkat suku bunga acuan atau BI rate terus mengalir. Namun, Gubernur BI, Agus Martowardojo nampaknya enggan mengabulkan permintaan itu meskipun telah terjadi sejumlah perbaikan ekonomi di dalam negeri. Agus mengatakan, memang saat ini telah terjadi sejumlah perbaikan ekonomi di dalam negeri, misalnya tingkat inflasi di 2015 diperkirakan di bawah 4%, lebih rendah dibandingkan periode 2013-2014. Selain itu, defisit transaksi berjalan di 2015 diperkirakan sebesar US$ 18 miliar dolar, lebih kecil jika dibandingkan dengan capaian 3 tahun terkahir. Namun, menurut Agus, untuk menurunkan BI rate tidak hanya mengacu pada kondisi perekonomian dalam negeri, melainkan juga kondisi ekonomi global. Agus menyebut 3 kondisi ekonomi global yang membuat BI masih menahan suku bunga acuan di level 7,5%. Pertama, kondisi perekonomian di China. Menurut Agus, awalnya ekonomi China diramalkan bakal tumbuh di atas 10% tahun ini. Namun, perkiraan itu ternyata meleset, dan pertumbuhan ekonomi China diperkirakan turun ke arah 7%, bahkan diperkirakan bisa mencapai 6,3%. Kedua, harga komoditi mentah dalam 3 tahun terakhir turun. Ketiga, kenaikan tingkat suku bunga Bank Sentral Amerika Serikat (AS) yang diperkirakan akan terjadi bertahap. Menurut Agus, kenaikan tingkat suku bunga itu akan membuat dana asing dari negara berkembang cenderung keluar ke pasar keuangan AS. ""Meningkatnya suku bunga (AS) akan bertahap dari 0,25 menjadi 1,125, mungkin nanti menjadi 3,625. Jadi dolar cenderung menguat dan itu akan membawa tekanan di dunia. Apalagi selama beberapa bulan terakhir terjadi perbaikan ekonomi di AS,"" kata Agus Martowardojo dalam acara Economic Challenges, di Hotel Borobudur, Jakarta, Selasa (1/12/2015). Agus menambahkan, membaiknya defisit transaksi berjalan serta laju inflasi yang terkendali memang menjadi peluang untuk menghadapi dampak kenaikan tingkat suku bunga The Fed. Namun, kata Agus, perlu diingat bahwa Indonesia menjalankan sistem ekonomi terbuka, artinya siapapun bisa menaruh modalnya di rupiah atau mata uang asing tanpa batasan.","[('ekonomi', 10), ('agus', 9), ('bunga', 6), ('tingkat', 6), ('suku', 6), ('3', 5), ('bi', 5), ('as', 4), ('kondisi', 4), ('turun', 3)]",8
Detik Finance,12/1/2015 15:55,http://finance.detik.com/read/2015/12/01/154121/3085095/4/bkpm-optimistis-kejar-target-investasi-rp-5948-triliun-di-2016," Jakarta -Situasi perekonomian internal dan eksternal yang menunjukan trend yang positif membuat Badan Koordinasi Penanaman Modal (BKPM) optimistis menghadapi tahun 2016. Pertumbuhan investasi di tahun 2016 dinilai akan tetap terjaga mengikuti pencapaian pertumbuhan investasi di tahun ini. Kepala BKPM Franky Sibarani menyampaikan bahwa investasi di 2016 tetap akan tumbuh sesuai target sebesar Rp 594,8 Triliun, karena kondisi internal dan eksternal mendukung. ""Internal makroekonomi 2015 menunjukkan tren yang positif, pertumbuhan ekonomi membaik, indeks keyakinan konsumen dan indeks tendensi bisnis Oktober meningkat, semua optimis. Sementara dari sisi eksternal 36% arus investasi global masuk ke Asia Pasifik. Survey PwC menyebut Indonesia sebagai destinasi investasi utama bersama China, AS dan Vietnam dengan 52% CEO yang disurvei menyatakan akan ekspansi di Indonesia setahun ke depan,” ujar Franky dalam keterangan tertulis yang diterima detikFinance, Selasa (1/12/2015). Menurut Franky, optimisme yang muncul dalam melihat outlook tahun 2016 memiliki landasan yang cukup kuat. Salah satu fondasi optimisme tersebut adalah capaian kinerja investasi 2015 yang tetap tumbuh. “Posisi Januari-September realisasi investasi Rp 400 triliun sudah 77% dari target 2015, Rp 519,5 triliun. Proyeksi hingga akhir tahun ini diperkirakan mencapai 105% dari target atau Rp 545 triliun,” sebutnya. Franky menambahkan bahwa untuk tahun 2016, BKPM akan memfokuskan berbagai program untuk menjaga tren positif pertumbuhan investasi tersebut. Di antaranya melanjutkan kemudahan investasi, khususnya bagi sektor manufaktur dengan Izin Investasi Izin Konstruksi di Kawasan Industri, paket kebijakan yang bermanfaat langsung untuk investasi manufaktur, kemudahan status perusahaan dalam kawasan berikat (PDKB), dan diskon pajak untuk industri padat karya. ""Selain itu, kami juga akan mengawal proyek investasi yang sedang konstruksi khususnya dari Sektor manufaktur. Sedangkan untuk sektor prioritas investasi, BKPM akan terus mendorong realisasi khususnya orientasi ekspor, padat karya yang orientasi ekspor, substitusi impor, hilirisasi, pertanian, maritim, Pariwisata dan kawasan, infrastruktur,"" paparnya. Pemerintah melalui BKPM dalam setahun terakhir mengeluarkan kebijakan sebagai landasan pengembangan investasi di antaranya di bidang perizinan memberikan kemudahan melalui perizinan online, PTSP Pusat, penyederhanaan izin listrik, terbaru izin investasi 3 Jam dengan produk 8 izin plus 1 surat booking tanah, per hari ini 1 Desember 2015. Pemerintah juga telah mengeluarkan paket kebijakan yg menjawab kebutuhan investor seperti insentif fiskal, formula pengupahan, izin tanah dan lain sebagainya. Dari data BKPM periode Januari hingga September, investasi sektor infrastruktur, listrik, pelabuhan, jalan dan sektor infrastruktur lainnya tercatat Rp 155,9 triliun mencapai 95% dari target 2015 sebesar Rp 163,6 triliun. Pencapaian ini dapat menjadi fondasi pengembangan investasi sektor manufaktur ke depan. Sedangkan investasi manufaktur hingga kuartal ketiga 2015 mencapai Rp 172,1 triliun atau 64,3% dari target 2015 Rp 267,5 triliun. Dari sisi pemasaran investasi, BKPM telah menetapkan negara-negara prioritas seperti dari Asia: China, Korsel, Jepang, Singapura, Malaysia, Amerika dan Eropa. Negara-negara tersebut selama ini mitra investasi utama, yang akan menjadi fokus pemasaran BKPM. Dari negara-negara tersebut, 48% pencapaian investasi untuk periode tahun 2010 hingga kuartal ketiga 2015 sebesar US$ 66,7 miliar disumbang dari negara-negara Asia. Franky menyampaikan bahwa Asia tetap merupakan kontributor terbesar realisasi investasi Indonesia. “Dengan kontribusi hampir separuh dari total realisasi investasi disumbang dari negara-negara Asia,” jelasnya. Selain negara-negara yang menjadi prioritas tersebut, BKPM juga mencermati aliran investasi yang masuk dari dan menuju Vietnam sebagai salah satu negara pesaing Indonesia. “Potensi outward investment dari negara-negara Asia untuk ditarik ke Indonesia cukup besar. Untuk Tiongkok dan Vietnam contohnya, outward investment yg masuk ke Indonesia masih sekitar 1-4% dari seluruh outward investment negara tersebut. Contohnya China masuk ke sektor smelter, sedangkan sektor manufaktur seperti TPT justru masuk ke Vietnam,” lanjutnya. Dengan kontribusi investasi sebesar 32% dalam pencapaian pertumbuhan ekonomi, maka target pertumbuhan ekonomi tahun 2016 sebesar 5,5% menunjukkan optimisme Indonesia. ""Bila melihat perlambatan ekonomi global, ditandai dengan angka pertumbuhan yang hanya 2%, sementara Indonesia di level 5% dan negara-negara dikawasan Asia Timur yang mencapai 8% menunjukkan bahwa negara-negara Asia termasuk yang paling pesat pertumbuhan ekonominya,"" pungkas Franky.","[('investasi', 25), ('negara', 11), ('tumbuh', 10), ('2015', 9), ('capai', 9), ('bkpm', 9), ('izin', 8), ('rp', 8), ('asia', 8), ('triliun', 8)]",8
Detik Finance,12/1/2015 16:00,http://finance.detik.com/read/2015/12/01/154959/3085101/4/ini-3-jurus-reformasi-koperasi-ri," Jakarta -Koperasi merupakan amanat Undang Undang Dasar 1945. Dalam Pasal 33 UUD 1945 dinyatakan bahwa perekonomian Indonesia disusun dengan usaha bersama atas dasar kekeluargaan. Bangunan ekonomi yang paling tepat untuk itu adalah koperasi. Demikian diungkapkan Menteri Koperasi dan UKM, Anak Agung Ngurah Puspayoga dalam Seminar Pemasaran untuk UKM di SME Tower, Jakarta, Selasa (1/12/2015). ?Namun, saat ini koperasi di Indonesia kurang berkembang. Sumbangan koperasi untuk Produk Domestik Bruto (PDB) Indonesia pada 2014 lalu baru 1,7%. Untuk meningkatkan peran koperasi dalam perekonomian Indonesia, Menteri Puspayoga melakukan 'reformasi total' terhadap koperasi. ?""Kita sudah melakukan reformasi total terhadap koperasi. Apa yang kita lakukan? Pertama rehabilitasi, kedua adalah reorientasi,dan ketiga pengembangan,"" kata Puspayoga. Ada 3 'jurus' yang dilakukan ?Puspayoga untuk mereformasi total koperasi di Indonesia. Pertama, adalah rehabilitasi. Rehabilitasi dilakukannya dengan memangkas jumlah koperasi di Indonesia. Koperasi-koperasi yang tidak aktif dan tidak jelas kegiatannya dicabut izinnya. ""Kita negara yang paling banyak punya koperasi, tapi sumbangan koperasi terhadap PDB kecil sekali sehingga kita lakukan rehabilitasi. 62.000 koperasi sudah kita keluarkan dari database karena tidak aktif lagi, sekarang masih ada 147.000 koperasi, kita beri nomor induk,"" ucapnya. Setelah penataan koperasi ini, Kemenkop UKM bisa melaksanakan program-program bantuan dan pembinaan untuk koperasi? dengan baik karena kegiatan-kegiatan koperasi di seluruh Indonesia kini bisa terpantau dengan baik. ""Tanpa kita punya database, kita nggak bisa melakukan program-program bagus untuk koperasi,"" tukas dia. Langkah kedua adalah reorientasi. Kini pembangunan koperasi tidak lagi diorientasikan pada peningkatan jumlah koperasi, tapi berorientasi ?pada peningkatan kualitas koperasi. Koperasi tidak perlu banyak, tapi yang penting bisa memberikan manfaat pada lebih banyak anggota. ""Dulu semakin banyak jumlah koperasi semakin bagus. Sekarang semakin berkualitas koperasi semakin bagus. Indikatornya semakin banyak anggota koperasi, bukan badannya. Kalau jumlah anggota makin banyak, pasti omzetnya meningkat. Kalau omzet meningkat, tenaga kerjanya juga meningkat, terjadi pengurangan pengangguran dan meningkatkan pertumbuhan ekonomi,"" paparnya. Ketiga adalah pengembangan koperasi. Pengembangan dilakukan dengan membuat pengelolaan koperasi lebih bagus sehingga usaha koperasi bisa semakin besar.? ""Ada koperasi yang sampai bisa bangun rumah sakit. Omzetnya sampai Rp 5 triliun. Ini menunjukkan kalau koperasi dikelola dengan baik, dia akan jadi usaha besar,"" tutupnya.","[('koperasi', 31), ('laku', 8), ('tingkat', 7), ('indonesia', 7), ('kembang', 4), ('ekonomi', 4), ('puspayoga', 4), ('rehabilitasi', 4), ('bagus', 4), ('usaha', 3)]",8
